iter	Logloss
0	0.6505570312
1	0.6153394082
2	0.584567263
3	0.5566094966
4	0.532548318
5	0.5102675025
6	0.4895156502
7	0.4713806792
8	0.4537890872
9	0.4374703431
10	0.4250959042
11	0.4112891519
12	0.4020039323
13	0.3939291621
14	0.3841021025
15	0.3750004583
16	0.3684769382
17	0.3623324035
18	0.3547669786
19	0.3494359836
20	0.3456402238
21	0.3417497503
22	0.3367092079
23	0.33271931
24	0.3272861637
25	0.3212274613
26	0.318157634
27	0.3152603571
28	0.312866951
29	0.3102432966
30	0.3078822423
31	0.3055511701
32	0.3016397664
33	0.2996415584
34	0.298218918
35	0.2953524117
36	0.2929374546
37	0.2914406489
38	0.2897605289
39	0.2863252306
40	0.2852881994
41	0.2830386243
42	0.2798982368
43	0.277771349
44	0.2757486348
45	0.2747731394
46	0.2736155395
47	0.2690282122
48	0.2680124728
49	0.2659416032
50	0.2646764835
51	0.2629755259
52	0.2621814371
53	0.2607277221
54	0.2588704721
55	0.2580302738
56	0.2572964025
57	0.2564460935
58	0.2552409022
59	0.2546154355
60	0.2540280902
61	0.251209675
62	0.2505006303
63	0.2499868519
64	0.2490187879
65	0.2484217866
66	0.2475769213
67	0.2470494811
68	0.2465507539
69	0.2460509579
70	0.2456891147
71	0.2453214852
72	0.244864019
73	0.2445339598
74	0.2430656612
75	0.241966472
76	0.2416545858
77	0.2412126168
78	0.2408358772
79	0.2399533001
80	0.2394133235
81	0.2390932164
82	0.2383077782
83	0.2374333118
84	0.2371034632
85	0.236863456
86	0.23617458
87	0.2345556346
88	0.2340075974
89	0.2330141312
90	0.2328079528
91	0.2325720455
92	0.232371258
93	0.2316858113
94	0.2311534201
95	0.2308974412
96	0.2306886194
97	0.2301425785
98	0.2299094115
99	0.2296560403
100	0.2294164138
101	0.2290493326
102	0.2287405358
103	0.2285063948
104	0.2282474694
105	0.2280310468
106	0.2277714352
107	0.2272101328
108	0.2267400639
109	0.2265309676
110	0.2262889699
111	0.2261023841
112	0.2257977446
113	0.225487045
114	0.225232076
115	0.2250912496
116	0.2249205574
117	0.2247806148
118	0.2245137081
119	0.2243819736
120	0.224138327
121	0.2239050784
122	0.22372427
123	0.2235450431
124	0.2233901577
125	0.2229574861
126	0.2226975709
127	0.2224446717
128	0.2222440756
129	0.2221108558
130	0.2219636802
131	0.2218173997
132	0.2215015358
133	0.2212827682
134	0.2211144561
135	0.2209670042
136	0.2206841982
137	0.220525691
138	0.2203574697
139	0.2202295548
140	0.219847158
141	0.2196895202
142	0.219520946
143	0.2193916892
144	0.2192389129
145	0.2189215438
146	0.2187570674
147	0.2186274874
148	0.2184344606
149	0.2182719415
150	0.2181459483
151	0.2180210774
152	0.2178568404
153	0.2174961559
154	0.2173452763
155	0.2172382256
156	0.2170856927
157	0.2164829976
158	0.21624945
159	0.2161118551
160	0.21601344
161	0.2158865266
162	0.2157825647
163	0.2156790457
164	0.215535906
165	0.215237355
166	0.2151271353
167	0.2145410574
168	0.2143479599
169	0.2142451946
170	0.2141662361
171	0.2140490237
172	0.2139458899
173	0.2137798862
174	0.213687355
175	0.2136076666
176	0.2135084954
177	0.2134070574
178	0.2132710291
179	0.2131430369
180	0.213040096
181	0.2125488577
182	0.2124016734
183	0.2122881788
184	0.2121512432
185	0.212013214
186	0.211915097
187	0.2117725125
188	0.2115210704
189	0.211366024
190	0.2112850279
191	0.2111265421
192	0.2110131637
193	0.2109078061
194	0.2108249158
195	0.2107202923
196	0.2106024427
197	0.2105091443
198	0.2102992919
199	0.2101922137
200	0.2100383445
201	0.2098460129
202	0.2097335543
203	0.209621726
204	0.2095272831
205	0.2094311614
206	0.2092837856
207	0.209238756
208	0.2088606527
209	0.2087095098
210	0.2086083935
211	0.2084720935
212	0.2083982521
213	0.2082973911
214	0.2081949025
215	0.2080514399
216	0.2079426577
217	0.2078489811
218	0.2077177407
219	0.207472036
220	0.2073938603
221	0.2072812855
222	0.2071866164
223	0.2070529869
224	0.2069595906
225	0.2068168609
226	0.2067152721
227	0.206657421
228	0.2065809519
229	0.206478645
230	0.206245521
231	0.2060009208
232	0.20593161
233	0.205799485
234	0.20564658
235	0.2055752802
236	0.2054837804
237	0.2053720411
238	0.2052998109
239	0.2051862489
240	0.2050315948
241	0.2049021114
242	0.2047994329
243	0.2045032218
244	0.2043718516
245	0.2042410157
246	0.2041611137
247	0.2040934335
248	0.2039862576
249	0.2039113671
250	0.203727665
251	0.203543803
252	0.2033491952
253	0.2032704334
254	0.2031428896
255	0.2029578171
256	0.2027464922
257	0.2026775269
258	0.2025717393
259	0.2024480314
260	0.2021564333
261	0.2020613253
262	0.201893949
263	0.2017818604
264	0.2016886649
265	0.2016385629
266	0.201539058
267	0.2014726264
268	0.2011376339
269	0.2010495323
270	0.2007412338
271	0.2006981227
272	0.2004044018
273	0.2003282109
274	0.2001489288
275	0.2000627214
276	0.1999839768
277	0.1998987764
278	0.1998181007
279	0.1997138507
280	0.1996088589
281	0.1995391267
282	0.1994608225
283	0.1993452536
284	0.1992295422
285	0.1991676444
286	0.199107263
287	0.1990400892
288	0.1989564139
289	0.1987862034
290	0.1987063461
291	0.1986444764
292	0.1983611968
293	0.1980664332
294	0.1977525885
295	0.1976697346
296	0.1975776628
297	0.1975009979
298	0.1974321586
299	0.1973756429
300	0.1972858846
301	0.1972327569
302	0.1970861832
303	0.1969944118
304	0.1967223399
305	0.1965159165
306	0.1964259641
307	0.1963719147
308	0.1962808598
309	0.196173695
310	0.1961091611
311	0.1959818707
312	0.1958869824
313	0.1958124928
314	0.1957054153
315	0.1956524488
316	0.1954732397
317	0.1953487579
318	0.1951788182
319	0.195047903
320	0.1949543176
321	0.194725532
322	0.1945664226
323	0.1945105713
324	0.1944091841
325	0.1942411291
326	0.1941201549
327	0.1940539389
328	0.1939471569
329	0.1938619625
330	0.1937716843
331	0.1936612403
332	0.1935946414
333	0.1935033968
334	0.1934056296
335	0.193313355
336	0.1930535232
337	0.1929373615
338	0.1928056693
339	0.1927251775
340	0.1926037185
341	0.1925459835
342	0.1924532378
343	0.1923777223
344	0.1923006883
345	0.1922107665
346	0.1921417406
347	0.1919182517
348	0.1918501044
349	0.1917921993
350	0.1915491838
351	0.1914057293
352	0.1913162044
353	0.1912516214
354	0.1911774208
355	0.1910689244
356	0.1909579801
357	0.1908521425
358	0.1907562559
359	0.1906634643
360	0.1905670817
361	0.1904867413
362	0.1904247016
363	0.1903397429
364	0.1902891455
365	0.1902320382
366	0.1901517703
367	0.1901111145
368	0.1899847231
369	0.189842275
370	0.1898006664
371	0.189728849
372	0.1896635126
373	0.1896003588
374	0.1893755542
375	0.189187438
376	0.1890929212
377	0.1890177612
378	0.1889412543
379	0.1888665478
380	0.1887973774
381	0.1886152191
382	0.188523969
383	0.1884720305
384	0.1884103743
385	0.1883199166
386	0.1882371819
387	0.1881738244
388	0.1880486073
389	0.1878611233
390	0.187806829
391	0.1875841529
392	0.1875056894
393	0.1874445827
394	0.1874008851
395	0.1873239152
396	0.187262849
397	0.1872271133
398	0.1871674731
399	0.1870980496
400	0.1870448006
401	0.1869394448
402	0.1868787925
403	0.1867719567
404	0.1867213255
405	0.1866649631
406	0.1865974236
407	0.186526595
408	0.186433451
409	0.1863698061
410	0.1862963037
411	0.1862031431
412	0.1861362895
413	0.1860359608
414	0.1859945807
415	0.1858917079
416	0.1858277592
417	0.185680277
418	0.1856013634
419	0.1855295357
420	0.1854828793
421	0.1854278246
422	0.1853340544
423	0.1852389182
424	0.1851760803
425	0.1850750953
426	0.1850215067
427	0.1849849571
428	0.184842584
429	0.1847761678
430	0.1847090993
431	0.1846647882
432	0.1846135576
433	0.184538887
434	0.1843935235
435	0.1843235123
436	0.1842702606
437	0.1841989083
