iter	Passed	Remaining
0	191	191461
1	250	125083
2	313	104227
3	374	93165
4	448	89340
5	507	84051
6	584	82957
7	662	82120
8	737	81242
9	814	80669
10	878	79009
11	957	78812
12	1030	78211
13	1087	76598
14	1148	75404
15	1211	74515
16	1285	74360
17	1342	73230
18	1392	71900
19	1462	71645
20	1516	70684
21	1574	69997
22	1647	69979
23	1700	69160
24	1752	68348
25	1821	68252
26	1882	67832
27	1941	67413
28	1995	66825
29	2081	67309
30	2161	67549
31	2217	67088
32	2278	66762
33	2331	66254
34	2396	66066
35	2464	65984
36	2540	66109
37	2609	66059
38	2687	66231
39	2752	66063
40	2818	65919
41	2880	65700
42	2949	65634
43	3018	65589
44	3092	65635
45	3147	65286
46	3206	65009
47	3271	64876
48	3324	64525
49	3384	64310
50	3452	64251
51	3514	64066
52	3579	63964
53	3650	63947
54	3709	63733
55	3757	63344
56	3817	63158
57	3883	63072
58	3947	62964
59	4007	62776
60	4076	62751
61	4131	62505
62	4186	62272
63	4245	62085
64	4291	61729
65	4335	61359
66	4398	61255
67	4466	61213
68	4511	60868
69	4568	60699
70	4620	60454
71	4700	60579
72	4781	60723
73	4872	60966
74	4939	60923
75	4999	60780
76	5061	60674
77	5119	60510
78	5191	60528
79	5258	60474
80	5339	60578
81	5413	60603
82	5472	60466
83	5550	60528
84	5651	60831
85	5719	60781
86	5779	60653
87	5832	60450
88	5879	60180
89	5939	60051
90	5992	59860
91	6057	59788
92	6115	59646
93	6175	59523
94	6234	59395
95	6286	59193
96	6353	59146
97	6417	59062
98	6481	58988
99	6529	58761
100	6591	58672
101	6652	58568
102	6707	58409
103	6792	58521
104	6867	58533
105	6928	58433
106	6972	58190
107	7018	57969
108	7084	57912
109	7154	57888
110	7218	57810
111	7287	57776
112	7340	57617
113	7387	57417
114	7443	57285
115	7495	57119
116	7559	57050
117	7627	57015
118	7684	56894
119	7733	56711
120	7799	56655
121	7853	56518
122	7908	56390
123	7958	56223
124	8027	56190
125	8090	56116
126	8156	56067
127	8204	55895
128	8258	55764
129	8314	55641
130	8381	55596
131	8437	55484
132	8536	55646
133	8585	55487
134	8653	55446
135	8712	55350
136	8765	55216
137	8823	55113
138	8901	55138
139	8958	55032
140	8998	54820
141	9047	54669
142	9118	54648
143	9183	54591
144	9235	54458
145	9293	54361
146	9343	54218
147	9399	54109
148	9448	53964
149	9500	53834
150	9559	53747
151	9630	53727
152	9694	53667
153	9740	53508
154	9792	53385
155	9846	53272
156	9906	53194
157	9965	53109
158	10020	53002
159	10078	52914
160	10130	52792
161	10175	52635
162	10233	52548
163	10279	52401
164	10326	52255
165	10369	52097
166	10427	52012
167	10480	51904
168	10533	51794
169	10595	51732
170	10649	51627
171	10693	51477
172	10748	51383
173	10797	51255
174	10844	51123
175	10905	51057
176	10948	50908
177	11014	50865
178	11078	50812
179	11127	50690
180	11178	50581
181	11235	50498
182	11293	50419
183	11347	50322
184	11389	50173
185	11479	50236
186	11545	50197
187	11597	50089
188	11664	50052
189	11716	49950
190	11776	49880
