Tahun Kelahiran,Kelas Pekerjaan,fnlwgt,Pendidikan,Jenjang Pendidikan,Status,Pekerjaan,Hubungan,Etnis,sex,pendapatan,pengeluaran,hours per week,Asal Negara,jumlah_anak,income,no_income
1992,0,37210,0,0,0,0,0,1,0,0,0,45,0,2.0,1,0
1981,0,101950,1,1,1,0,1,1,1,0,0,45,0,0.0,0,0
2004,0,122244,2,2,1,1,1,1,1,0,0,28,0,0.0,0,0
1984,1,24763,3,3,1,2,2,1,0,6849,0,40,0,0.0,0,0
2000,0,113936,0,0,1,1,3,1,0,0,0,40,0,0.0,0,0
1973,0,237630,2,2,0,2,0,1,0,7298,0,50,0,1.0,1,0
1980,0,310255,3,3,0,3,0,1,0,0,0,60,0,1.0,1,0
1971,0,121441,3,3,0,4,0,1,0,0,0,55,0,0.0,0,0
1980,2,191712,1,1,0,1,0,1,0,0,2415,55,0,2.0,1,0
1996,0,149646,3,3,2,1,3,1,1,0,0,20,0,0.0,0,0
1992,0,113364,0,0,1,1,1,1,0,0,0,40,0,0.0,1,0
1973,0,63424,1,1,0,1,4,1,1,0,0,40,0,2.0,1,0
1995,0,175738,0,0,1,0,1,1,1,0,0,45,0,0.0,1,0
2002,0,38251,4,4,1,5,2,1,1,0,0,35,0,0.0,0,0
1964,0,251572,2,2,3,1,1,1,0,0,0,35,1,1.0,0,0
1990,0,317219,3,3,0,1,4,1,1,0,0,20,0,3.0,1,0
1970,1,186884,3,3,0,2,0,2,0,0,0,30,0,0.0,0,0
2005,0,414871,2,2,1,3,3,1,0,0,0,40,0,0.0,0,0
1963,0,86067,4,4,0,4,0,1,0,15024,0,40,0,3.0,1,0
1978,0,148738,2,2,0,2,0,1,0,0,1740,35,0,2.0,0,0
1961,0,175777,5,5,1,6,1,2,0,0,0,40,0,2.0,0,0
1990,0,231238,6,6,1,2,2,2,0,0,0,40,0,0.0,0,0
1981,1,214541,3,3,0,0,0,1,0,0,0,40,0,2.0,1,0
1979,3,210364,2,2,0,4,0,1,0,15024,0,80,0,0.0,1,0
1989,0,92028,1,1,0,0,0,1,0,0,0,50,0,1.0,1,0
1996,0,161674,2,2,1,6,2,1,1,0,0,40,0,0.0,0,0
1990,0,29235,4,4,1,1,1,1,1,0,0,40,0,3.0,0,0
1973,0,221672,1,1,0,4,0,1,0,15024,0,50,0,2.0,1,0
1969,1,107308,1,1,0,1,0,1,0,0,0,40,0,2.0,1,0
2004,0,223811,2,2,1,2,1,1,0,0,0,40,0,0.0,0,0
1964,2,93272,6,6,0,4,0,1,0,0,0,60,0,3.0,0,0
1990,0,314646,6,6,0,3,0,1,0,0,0,40,0,3.0,0,0
1971,0,355802,3,3,1,4,2,1,1,0,0,30,0,0.0,0,0
1985,0,306646,3,3,0,4,0,1,0,3103,0,50,0,2.0,1,0
1987,0,234901,3,3,0,4,0,1,0,0,0,50,2,3.0,1,0
1968,1,370045,0,0,0,1,0,1,0,0,0,40,0,3.0,1,0
1993,1,101345,2,2,1,2,3,1,1,0,0,40,0,0.0,0,0
1996,1,154863,6,6,0,3,0,2,0,0,0,40,3,3.0,1,0
1971,0,79324,2,2,0,3,0,1,0,0,0,40,0,3.0,1,0
1989,0,156728,2,2,0,2,0,1,0,0,0,40,0,0.0,0,0
1988,0,94954,7,4,3,1,1,1,1,0,0,20,0,1.0,0,0
1999,0,469697,3,3,0,3,3,1,0,0,0,40,0,0.0,0,0
1981,2,151089,2,2,0,4,0,1,0,0,0,50,0,0.0,0,0
1977,0,105381,2,2,1,4,1,1,1,0,0,40,0,2.0,0,0
1987,0,348796,0,0,1,5,1,1,0,0,0,40,0,1.0,0,0
1977,0,187969,5,5,1,5,1,1,1,0,0,38,0,1.0,0,0
1986,0,607848,0,0,0,4,0,1,0,0,0,40,0,2.0,1,0
1999,1,77698,3,3,1,7,2,2,1,0,0,40,0,0.0,0,0
1988,0,405155,8,7,0,3,0,1,0,0,0,40,4,0.0,0,0
1999,0,251915,0,0,1,4,3,1,1,0,0,40,0,0.0,0,0
1969,1,26290,7,4,3,0,1,4,1,0,0,38,0,0.0,0,0
2004,0,188300,3,3,1,2,3,1,1,0,0,40,0,0.0,0,0
1994,3,523095,3,3,1,3,1,1,0,0,0,45,0,0.0,0,0
1992,0,154087,2,2,0,0,0,1,0,0,0,40,0,1.0,0,0
1967,0,49893,1,1,0,1,0,1,0,0,0,60,0,1.0,1,0
2004,0,528616,8,7,1,5,5,1,0,0,0,40,4,0.0,0,0
1999,0,344719,2,2,0,1,4,1,1,0,0,4,0,2.0,0,0
1994,0,329425,2,2,0,3,0,1,0,0,0,40,0,2.0,0,0
2005,0,187352,2,2,0,3,0,1,0,0,0,40,0,3.0,0,0
2005,0,279968,3,3,1,7,3,1,1,0,0,20,0,0.0,0,0
1990,0,155151,3,3,0,3,0,1,0,0,0,40,0,1.0,1,0
1997,0,195337,3,3,1,6,1,1,1,0,0,40,0,0.0,0,0
1992,0,184440,3,3,0,6,0,1,0,3464,0,40,0,2.0,0,0
1974,0,35224,2,2,0,3,0,1,0,0,0,40,0,3.0,0,0
1991,3,167476,5,5,1,2,1,1,0,0,0,7,0,2.0,0,0
1980,0,71269,3,3,1,0,1,1,0,0,0,50,0,0.0,0,0
1984,1,27444,0,0,1,1,1,1,0,0,0,50,0,0.0,1,0
1992,0,147284,7,4,0,4,0,1,0,0,0,50,0,0.0,1,0
1988,0,297449,0,0,1,1,1,1,0,14084,0,40,0,2.0,1,0
2004,0,303565,3,3,1,2,3,2,0,0,0,40,2,0.0,0,0
1996,0,96020,0,0,1,0,1,1,1,0,0,40,0,0.0,0,0
1992,3,84119,2,2,0,3,0,1,0,0,0,45,0,2.0,0,0
1942,2,130329,6,6,0,2,0,1,0,0,0,50,0,0.0,0,0
1991,0,199227,0,0,0,0,0,1,0,0,0,55,0,3.0,1,0
1981,0,75742,2,2,0,6,0,1,0,0,0,40,0,2.0,0,0
1981,0,177905,2,2,0,2,0,1,0,3908,0,40,0,0.0,0,0
2000,0,278155,3,3,1,6,1,1,0,0,0,30,0,0.0,0,0
1991,3,235271,0,0,1,4,1,1,0,0,0,50,0,2.0,1,0
1946,0,165694,1,1,3,1,1,1,1,0,0,15,0,1.0,0,0
1999,0,234665,7,4,0,3,0,1,0,0,0,45,0,1.0,0,0
1979,0,114459,2,2,0,3,0,1,0,0,0,50,0,1.0,1,0
1993,0,131568,6,6,1,6,1,1,0,0,0,40,0,0.0,0,0
2005,0,308064,2,2,1,1,1,2,1,0,0,40,0,0.0,0,0
1974,3,167380,6,6,0,2,0,1,0,0,0,40,0,0.0,0,0
1968,0,215839,3,3,0,2,0,1,0,0,0,60,0,2.0,0,0
2003,0,162667,0,0,1,7,1,1,0,0,0,40,5,0.0,0,0
2004,0,137895,2,2,0,4,0,1,0,0,0,45,0,2.0,0,0
1976,0,209460,2,2,1,2,1,1,0,0,0,40,0,3.0,0,0
1986,0,54317,3,3,0,6,0,1,0,0,0,60,0,3.0,0,0
1988,1,147258,3,3,1,2,1,1,0,0,0,60,0,2.0,0,0
1967,0,298507,0,0,0,1,0,1,0,3103,0,40,0,3.0,1,0
1979,1,160472,0,0,0,0,0,1,0,0,1977,50,0,2.0,1,0
1960,0,193043,2,2,0,1,0,1,0,0,0,40,0,0.0,0,0
1995,0,93662,3,3,1,1,2,1,1,0,0,24,0,0.0,0,0
1982,1,99554,3,3,0,2,0,1,0,0,0,40,0,0.0,0,0
1963,0,51170,2,2,0,3,0,1,0,0,0,55,0,1.0,0,0
2000,0,176389,2,2,0,3,0,1,0,0,0,40,0,2.0,0,0
1988,3,233533,3,3,0,3,0,1,0,0,0,60,0,0.0,1,0
1967,0,426263,1,1,1,0,2,1,0,0,0,40,0,1.0,1,0
1985,0,24342,0,0,0,1,0,1,0,0,0,40,0,0.0,1,0
