iter	Logloss
0	0.6488092346
1	0.6119001344
2	0.5782116342
3	0.5496847263
4	0.5274691784
5	0.5044616526
6	0.482075552
7	0.4634202723
8	0.4468569687
9	0.4329595719
10	0.420608707
11	0.4073083735
12	0.3960033914
13	0.3868801437
14	0.3767326015
15	0.3700203399
16	0.3602546754
17	0.3539136032
18	0.3461965065
19	0.3402746159
20	0.3344734921	221	0.330190122222	0.3256022336
23	0.3224891164224	0.3175708162525	0.3118304832626	0.3086715002727	0.3034029192828	0.3004871392929	0.2980188543030	0.2952375583131	0.2926371223232	0.2898071403333	0.2868560734	34	0.2849273335	35	0.28094802336	0.2790978822337	0.2754630275338	0.2739148376339	0.2723382140440	0.2709196564441	0.2681534266442	0.2653805036443	0.2636548144444	0.2615292622445	0.260535046	446	0.258337295
47	0.257117048	48	0.2552967849	49	0.2542935950	50	50	0.2574351	51	0.2514797752	52	0.2480465153	53	0.2471486554	54	0.2463016955	55	0.2445621856	56	0.2431812557	57	0.2422763758	58	0.2410320059	59	0.2403925560	0.2428895075
61	0.2422698382
62	0.2416018561
63	0.2407964731
64	0.2398536996
65	0.2393151529
66	0.2369045327
67	0.2352544223
68	0.2347522889
69	0.2342744489
70	0.2337908408
71	0.2333650042
72	0.232974997
73	0.23265779
74	0.231934522
75	0.2314789718
76	0.2309554552
77	0.2304121153
78	0.2299801438
79	0.2278950784
80	0.2268166467
81	0.2264743819
82	0.2256214567
83	0.2250957245
84	0.2239545756
85	0.2235482573
86	0.2229619209
87	0.2221381855
88	0.2217257477
89	0.2212573112
90	0.2209736882
91	0.2207181913
92	0.2205370776
93	0.220052104
94	0.2186264017
95	0.2179886617
96	0.2172155398
97	0.2169404551
98	0.2163895961
99	0.2161009034
100	0.2154175593
101	0.2152438308
102	0.2149591306
103	0.2145260467
104	0.2143100167
105	0.2141118302
106	0.213250964
107	0.212698191
108	0.2124874704
109	0.2117911257
110	0.2114113077
111	0.2110340994
112	0.2107445621
113	0.2105004044
114	0.2098675792
115	0.2096594335
116	0.2094893164
117	0.2089232488
118	0.2087999267
119	0.2085498932
120	0.2079970878
121	0.2078255906
122	0.2076258849
123	0.2073207813
124	0.2070395869
125	0.2068731559
126	0.2065364343
127	0.2063879585
128	0.2060925004
129	0.2056788317
130	0.205496682
131	0.205356774
132	0.2052082839
133	0.2050036861
134	0.2048011469
135	0.2046381262
136	0.2045035619
137	0.2043107823
138	0.2041536858
139	0.2039387583
140	0.2035580654
141	0.2034393684
142	0.2033020668
143	0.2031480737
144	0.2030108882
145	0.2028586909
146	0.2025323446
147	0.202421263
148	0.2022629032
149	0.2021048687
150	0.2019062503
151	0.2017469988
152	0.2016368803
153	0.2014710529
154	0.2012693803
155	0.2011200446
156	0.2006267171
157	0.2005228607
158	0.2003523985
159	0.2001890287
160	0.1999723581
161	0.1998569119
162	0.1996431685
163	0.1991347639
164	0.1988024804
165	0.1986632858
166	0.1985199613
167	0.1984009201
168	0.1980970895
169	0.1980355536
170	0.1977857115
171	0.1977392493
172	0.1975185767
173	0.1974288424
174	0.1972681286
175	0.1969882376
176	0.1967546153
177	0.1966226362
178	0.1964752828
179	0.1963516009
180	0.1959775761
181	0.1958354479
182	0.1956856196
183	0.1956134998
184	0.1954894005
185	0.1952620543
186	0.19515726
187	0.1949041924
188	0.1947993116
189	0.1947276755
190	0.1946220328
191	0.1945063
192	0.1943265082
193	0.1941358204
194	0.1940368147
195	0.1939456138
196	0.1938130367
197	0.193671941
198	0.193448065
199	0.1933897576
200	0.1932818774
201	0.1932032374
202	0.1931041529
203	0.1929781222
204	0.1929111219
205	0.1928493123
206	0.1927372366
207	0.1926287953
208	0.192515405
209	0.1923463358
210	0.1920874046
211	0.1919713235
212	0.1917989285
213	0.1917110788
214	0.1916271447
215	0.1915414796
216	0.1912763031
217	0.1911507026
218	0.1910557919
219	0.1909500704
220	0.1908418729
221	0.1907897391
222	0.190673053
223	0.1905842521
224	0.1904256472
225	0.1902792469
226	0.1901460686
227	0.1900876737
228	0.189982363
229	0.1898946232
230	0.1898159177
231	0.1897194927
232	0.1896292737
233	0.1894230799
234	0.18933237
235	0.189140308
236	0.1889307353
237	0.1888068623
238	0.1887496268
239	0.1886650441
240	0.188532437
241	0.1884003114
242	0.1881993386
243	0.1880967689
244	0.1878390767
245	0.1874281226
246	0.1873207207
247	0.187245439
248	0.1871252123
249	0.187024673
250	0.1869246328
251	0.1868195546
252	0.186710608
253	0.1866404281
254	0.1864839275
255	0.1863840678
256	0.1862897109
257	0.1861815733
258	0.1860396059
259	0.1859416857
260	0.1858415241
261	0.1857624696
262	0.1856212606
263	0.1855128653
264	0.1853958374
265	0.1852983527
266	0.1852386816
267	0.1851482653
268	0.1850879491
269	0.1849892172
270	0.184920494
271	0.1848057965
272	0.1846153768
273	0.1844872501
274	0.1844095805
275	0.1843199718
276	0.184256676
277	0.184172805
278	0.1840482489
279	0.183983044
280	0.1838551757
281	0.1837471162
282	0.1836487803
283	0.1835782579
284	0.1833840487
285	0.1832828243
286	0.1831983664
287	0.1830957329
288	0.1830172826
289	0.1829474081
290	0.1827669831
291	0.1826176792
292	0.1825702169
293	0.1824984591
294	0.1823952785
295	0.1822764053
296	0.1821922058
297	0.1820874885
298	0.181998278
299	0.1819325051
300	0.1818459938
301	0.181765571
302	0.1816379864
303	0.1814582246
304	0.1813658536
305	0.1812807188
306	0.1811663635
307	0.1810829246
308	0.1810411478
309	0.1809703938
310	0.180843276
311	0.1807923746
312	0.1805269161
313	0.1804225739
314	0.180359672
315	0.1802724204
316	0.1802264072
317	0.180057734
318	0.1799755166
319	0.179682968
320	0.1795979794
321	0.1794877246
322	0.1794072394
323	0.1793276834
324	0.1792230027
325	0.1791163267
326	0.178951527
327	0.1788700585
328	0.1787742161
329	0.1786857007
330	0.1785726056
331	0.1784834796
332	0.1783904613
333	0.178095824
334	0.1780237702
335	0.1777224469
336	0.1776274331
337	0.1775283135
338	0.1772675371
339	0.1772104004
340	0.1771241587
341	0.1767297487
342	0.1766453187
343	0.1763916361
344	0.1763238656
345	0.1762244481
346	0.1760311855
347	0.1759731127
348	0.1756966572
349	0.1755161336
350	0.1754403806
351	0.1753507682
352	0.1752800031
353	0.1751918524
354	0.1751242859
355	0.1750629612
356	0.1750134489
357	0.1749308747
358	0.1748333723
359	0.1747566612
360	0.1746887106
361	0.1746094831
362	0.1745323594
363	0.1744523582
364	0.1743584607
365	0.1742754207
366	0.1742006954
367	0.1741314055
368	0.1740138282
369	0.1739165643
370	0.1737469542
371	0.1735440714
372	0.173489378
373	0.1734132594
374	0.1733416692
375	0.1732806652
376	0.1731942262
377	0.1730856904
378	0.1729755885
379	0.172869653
380	0.172814562
381	0.1726137561
382	0.172550483
383	0.1724768602
384	0.1724426392
385	0.172351933
386	0.172305641
387	0.1720620164
388	0.1719324926
389	0.1718846959
390	0.1718341625
391	0.1717764012
392	0.1717108411
393	0.1716005808
394	0.1715026308
395	0.17140396	0.396	0.17135397	0.397	0.1712582881
398	0.1711999196
399	0.1711322415
400	0.1710779607
401	0.171005888
402	0.17093489
403	0.1708393226
404	0.1706865021
405	0.1705968508
406	0.1705293415
407	0.1704628876
408	0.1703968336
409	0.1703442723
410	0.1702838814
411	0.1702209312
412	0.1701414326
413	0.1700600553
414	0.1698749626
415	0.1697950958
416	0.1697208452
417	0.1695007668
418	0.1694359757
419	0.1694000187
420	0.1693150407
421	0.1692305964
422	0.1691503757
423	0.1691169327
424	0.1690727056
425	0.1690332207
426	0.1689408203
427	0.1688768122
428	0.1687866146
429	0.1686936731
430	0.1685872979
431	0.1683930095
432	0.168308506
433	0.1682417822
434	0.1681887193
435	0.1681397544
436	0.1680707475
437	0.1679302188
438	0.1678615481
439	0.1678229241
440	0.1677906216
441	0.1676985181
442	0.1676176657
443	0.167577621
444	0.1674148887
445	0.1673532786
446	0.167265516
447	0.1672141222
448	0.1671437344
449	0.167069615
450	0.1669815027
451	0.16691119
452	0.166868165
453	0.1668452341
454	0.1668081986
455	0.1667280302
456	0.1666194067
457	0.1665598826
458	0.1664744897
459	0.1663986178
460	0.166364678
461	0.166296991
462	0.166239149
463	0.1661902314
464	0.1661496018
465	0.1661008076
466	0.1660362734
467	0.1659819819
468	0.1659111236
469	0.1658437199
470	0.1657941768
471	0.1657305623
472	0.1656284118
473	0.1655592212
474	0.1654718167
475	0.1654214753
476	0.1653398946
477	0.1652877002
478	0.165216202
479	0.1650908611
480	0.1649224775
481	0.1648703903
482	0.164701248
483	0.1646284173
484	0.1645705068
485	0.1645064335
486	0.1644383762
487	0.1642981444
488	0.1642284944
489	0.1641522812
490	0.1641223913
491	0.164063934
492	0.1638618996
493	0.1637146214
494	0.1636385091
495	0.1635838549
496	0.1635419396
497	0.163393653
498	0.1633023698
499	0.1632254308
500	0.1631809088
501	0.1631015518
502	0.1629718646
503	0.16290416
504	0.1628579173
505	0.1626983897
506	0.1625337895
507	0.1624759414
508	0.1624393683
509	0.1623479632
510	0.1623166832
511	0.1622577756
512	0.1622109694
513	0.1621186192
514	0.1620631955
515	0.1620048016
516	0.1619252665
517	0.1618669658
518	0.1617660237
519	0.1617421342
520	0.1616822679
521	0.1616295051
522	0.1614577876
523	0.1612256746
524	0.1611818361
525	0.1611363155
526	0.1610784229
527	0.1610081413
528	0.1609811924
529	0.1608662579
530	0.1608113838
531	0.1607615609
532	0.1606809764
533	0.1606370734
534	0.1605642941
535	0.160498023
536	0.1604566912
537	0.1603123382
538	0.1602423929
539	0.1601603803
540	0.1601082369
541	0.1600568733
542	0.1600118224
543	0.1599807328
544	0.1599109662
545	0.1598196072
546	0.1597466709
547	0.1596981233
548	0.1596432304
549	0.1596176637
550	0.1595526263
551	0.1594782247
552	0.159440062
553	0.1593216432
554	0.1591675329
555	0.1590869856
556	0.1590237248
557	0.1589545679
558	0.1588926934
559	0.1588396104
560	0.1587925991
561	0.1587007568
562	0.1586453279
563	0.1585840527
564	0.1585304361
565	0.1584537375
566	0.1584004913
567	0.1583871193
568	0.1583139404
569	0.1582399598
570	0.1581981804
571	0.1580813598
572	0.1579808795
573	0.1579432128
574	0.1578993911
575	0.1578687328
576	0.1578120556
577	0.1577372112
578	0.1576703551
579	0.1575856563
580	0.1575177088
581	0.1574341826
582	0.1573874604
583	0.1573392736
584	0.1573032268
585	0.1572456114
586	0.1572050292
587	0.1571660329
588	0.1570882035
589	0.1570223643
590	0.1569325254
591	0.1568748234
592	0.1568320789
593	0.1567796946
594	0.1566939439
595	0.1566536746
596	0.1566134362
597	0.1565350501
598	0.156479472
599	0.15640864599	0.1555890443
600	0.1555326945
601	0.1554946665
602	0.1554377847
603	0.1553496055
604	0.1553063874
605	0.1552374491
606	0.1551812044
607	0.1551425009
608	0.1550657379
609	0.1549681341
610	0.1549230877
611	0.1548771868
612	0.1548368872
613	0.1547749211
614	0.1547293546
615	0.154695145
616	0.1546327004
617	0.1544935431
618	0.1544219431
619	0.1543395921
620	0.1542485784
621	0.1541846173
622	0.1541296106
623	0.1540800332
624	0.1540119945
625	0.1539504733
626	0.1539195784
627	0.1538764304
628	0.1538329727
629	0.1537774997
630	0.1537462422
631	0.1537072665
632	0.1536514814
633	0.1535917933
634	0.1535488458
635	0.1535138095
636	0.1534015896
637	0.1533342222
638	0.1532802898
639	0.1532465707
640	0.1531907199
641	0.1531321045
642	0.1530900972
643	0.1530563013
644	0.1529726439
645	0.1529321108
646	0.1528792071
647	0.1528335775
648	0.152807533
649	0.1527618095
650	0.1526425994
651	0.152587506
652	0.1525371792
653	0.152478416
654	0.1524175313
655	0.1523827321
656	0.1523273675
657	0.1522743405
659	0.1524396774
660	0.1523841239
661	0.1523023907
662	0.1522007316
663	0.1520659608
664	0.1520141755
665	0.1519711571
666	0.1519392491
667	0.1518261613
668	0.1517783818
669	0.1517142146
670	0.1516158534
671	0.1515508971
671	0.1516226907
672	0.1515703917
673	0.1514309607
674	0.1513988651
675	0.1513550954
676	0.1513021315
677	0.1512717537
678	0.1511813371
679	0.1511412387
680	0.1510964029
681	0.1510518799
682	0.1510155182
683	0.1509686564
684	0.1509186608
685	0.1508764941
686	0.1508443576
687	0.1507903748
688	0.1507319698
689	0.1507078541
690	0.1506566706
691	0.1506152187
692	0.150577751
693	0.1504949911
694	0.1503872397
695	0.1503331632
696	0.1503026751
697	0.1502649248
698	0.1501996811
699	0.1501409802
700	0.1500615571
701	0.15004091
702	0.1499756114
703	0.1499402788
704	0.1498503854
705	0.1497997712
706	0.1497431781
707	0.1496989133
708	0.1496652944
709	0.1496462477
710	0.1496306714
711	0.1495788202
712	0.149544345
713	0.1494927967
714	0.1494544797
715	0.149440091
716	0.1493921785
717	0.149315408
718	0.149265253
719	0.149164035
720	0.1491243909
721	0.1490843697
722	0.14903071
723	0.1489741179
724	0.1489199754
725	0.1488842072
726	0.1488605584
727	0.1488195776
728	0.1487830524
729	0.1487302329
730	0.1487164492
731	0.148632309
732	0.148596018
733	0.1485430842
734	0.1485079027
735	0.1484873944
736	0.148448764
737	0.1484013175
738	0.1483403371
739	0.1482883346
740	0.1482095596
741	0.1481870457
742	0.1481252123
743	0.148024682
744	0.1479443903
745	0.1479163881
746	0.147840496
747	0.1477670666
748	0.1476959084
749	0.1476620548
750	0.1476133379
751	0.1475382831
752	0.1474828495
753	0.1474537332
754	0.1474118176
755	0.1473782501
756	0.147306272
757	0.147244814
758	0.1471675235
759	0.1470983301
760	0.1470395584
761	0.1470028235
762	0.1469640253
763	0.1468808465
764	0.1468089089
765	0.1467679354
766	0.1467511011
767	0.1467029116
768	0.1466114908
769	0.1465760473
770	0.1465327771
771	0.1464758322
772	0.1464008545
773	0.146363266
774	0.1463094811
775	0.1462459195
776	0.1462017509
777	0.1461744023
778	0.1461335854
779	0.1460952122
780	0.1460498028
781	0.1460096427
782	0.1459424966
783	0.1458681097
784	0.1458344005
785	0.145802904
786	0.1457588401
787	0.1456799587
788	0.1456569694
789	0.1456472366
790	0.1456003045
791	0.1455580689
792	0.1455246315
793	0.1454664549
794	0.1454588946
795	0.1454285327
796	0.1453965653
797	0.1453368917
798	0.1453030504
799	0.1452504194
800	0.1452165511
801	0.145126118
802	0.1450903301
803	0.1450337868
804	0.14497991
805	0.1449477151
806	0.1448976271
807	0.1448712557
808	0.1448417716
809	0.1447375279
810	0.144680921
811	0.1446274619
812	0.1445804893
813	0.1445447811
814	0.1444927064
815	0.1444378544
816	0.1444025437
817	0.1443557264
818	0.1442822297
819	0.1442150646
820	0.144155396
821	0.1440786293
822	0.1440446665
823	0.1439794503
824	0.1438586194
825	0.143825368
826	0.1437981222
827	0.1437725418
828	0.1437445637
829	0.1437125105
830	0.1436586537
831	0.1435914874
832	0.1435353043
833	0.1434721708
834	0.1434401986
835	0.1434161303
836	0.1433887177
837	0.1433618684
838	0.1433294352
839	0.1432778769
840	0.1432472344
841	0.1432012503
842	0.1431410325
843	0.143103734
844	0.1430232565
845	0.142924756
846	0.1428798484
847	0.1428518056
848	0.1428142826
849	0.1427703223
850	0.1427373538
851	0.1427154253
852	0.1426817973
853	0.1426054819
854	0.1425939217
855	0.142527307
856	0.1424878163
857	0.1424632479
858	0.1424137463
859	0.1423524934
860	0.1422959972
861	0.1422525756
862	0.1422095168
863	0.1421700258
864	0.1421136836
865	0.1420778738
866	0.1420466709
867	0.1419887526
868	0.1419579446
869	0.141925379
870	0.1418802742
871	0.1418573328
872	0.1418109977
873	0.1417767422
874	0.141706732
875	0.1416374676
876	0.141589071
877	0.1415316654
878	0.1414448758
879	0.1413877967
880	0.1413270147
881	0.141291828
882	0.1412412981
883	0.141207387
884	0.1411484283
885	0.1411182778
886	0.1410963746
887	0.1410669922
888	0.1410273323
889	0.1410121713
890	0.1409685566
891	0.1408995043
892	0.1408368951
893	0.140782954
894	0.1406820278
895	0.1406389918
896	0.1406027663
897	0.1405506143
898	0.1405212781
899	0.1404694688
900	0.1404513761
901	0.1404125813
902	0.1403643482
903	0.1402869895
904	0.1402357719
905	0.1401771641
906	0.1401203533
907	0.1400789749
908	0.1400503818
909	0.1400078247
910	0.1399677621
911	0.1399314464
912	0.1398935339
913	0.1398565311
914	0.1397920981
915	0.139763953
916	0.1396827709
917	0.1396438316
918	0.1395758277
919	0.1395092641
920	0.1394499133
921	0.1394186737
922	0.139373724
923	0.1393185381
924	0.1393013432
925	0.1392722063
926	0.1392204435
927	0.139183963
928	0.1391308625
929	0.1391027905
930	0.1390732325
931	0.1390231936
932	0.1389953714
933	0.1389517942
934	0.1388881752
935	0.1388441666
936	0.1387912741
937	0.1387596367
938	0.1386910048
939	0.1386530499
940	0.138610398
941	0.1385363243
942	0.1385117699
943	0.1384776189
944	0.1384443262
945	0.1383886671
946	0.1383553006
947	0.1383349812
948	0.138315834
949	0.1381981636
950	0.1380397299
951	0.138001853
952	0.1379753775
953	0.1379553738
954	0.1379408124
955	0.1379108631
956	0.1378607036
957	0.137808181
958	0.1377792855
959	0.1377590054
960	0.1376851705
961	0.1376488653
962	0.1376000288
963	0.1375708891
964	0.1375129677
965	0.1374912084
966	0.1374426626
967	0.1373972068
968	0.1373716889
969	0.137311529
