Tahun Kelahiran,Kelas Pekerjaan,fnlwgt,Pendidikan,Jenjang Pendidikan,Status,Pekerjaan,Hubungan,Etnis,sex,pendapatan,pengeluaran,hours per week,Asal Negara,jumlah_anak,income,no_income
1992,2,37210,8,7,1,1,4,1,1,0,0,45,38,2,1,0
1981,2,101950,9,8,0,1,0,1,0,0,0,45,38,0,0,0
2004,2,122244,4,4,0,1,0,1,0,0,0,28,38,0,0,0
1984,5,24763,5,6,3,6,1,1,1,6849,0,40,38,0,0,0
2000,2,113936,8,7,0,2,5,1,1,0,0,40,38,0,0,0
1973,2,237630,4,4,1,3,4,1,1,7298,0,50,38,1,1,0
1980,2,310255,5,6,1,9,4,1,1,0,0,60,38,1,1,0
1971,2,121441,5,6,1,5,4,1,1,0,0,55,38,0,0,0
1980,4,191712,9,8,1,2,4,1,1,0,2415,55,38,2,1,0
1996,4,149646,5,6,3,2,5,1,0,0,0,20,38,0,0,0
1992,2,113364,8,7,0,2,0,1,1,0,0,40,38,0,1,0
1973,2,63424,9,8,1,2,3,1,0,0,0,40,38,2,1,0
1995,2,175738,8,7,0,1,0,1,0,0,0,45,38,0,1,0
2002,2,38251,6,5,0,12,1,1,0,0,0,35,38,0,0,0
1964,2,251572,4,4,2,12,0,1,1,0,0,35,29,1,0,0
1990,2,317219,5,6,1,12,3,1,0,0,0,20,38,3,1,0
1970,5,186884,5,6,1,6,4,2,1,0,0,30,38,0,0,0
2005,2,414871,4,4,0,9,5,1,1,0,0,40,38,0,0,0
1963,2,86067,6,5,1,5,4,1,1,15024,0,40,38,3,1,0
1978,2,148738,4,4,1,8,4,1,1,0,1740,35,38,2,0,0
1961,2,175777,3,3,4,7,0,2,1,0,0,40,38,2,0,0
1990,2,231238,2,2,4,10,1,2,1,0,0,40,38,0,0,0
1981,5,214541,5,6,1,1,4,1,1,0,0,40,38,2,1,0
1979,3,210364,4,4,1,5,4,1,1,15024,0,80,38,0,1,0
1989,2,92028,9,8,1,1,4,1,1,0,0,50,38,1,1,0
1996,2,161674,4,4,0,7,1,1,0,0,0,40,38,0,0,0
1990,2,29235,6,5,3,2,0,1,0,0,0,40,38,3,0,0
1973,2,221672,9,8,1,5,4,1,1,15024,0,50,38,2,1,0
1969,5,107308,9,8,1,2,4,1,1,0,0,40,38,2,1,0
2004,2,223811,4,4,0,8,0,1,1,0,0,40,38,0,0,0
1964,4,93272,2,2,1,5,4,1,1,0,0,60,38,3,0,0
1990,2,314646,2,2,1,9,4,1,1,0,0,40,38,3,0,0
1971,2,355802,5,6,2,5,1,1,0,0,0,30,38,0,0,0
1985,2,306646,5,6,1,5,4,1,1,3103,0,50,38,2,1,0
1987,2,234901,5,6,1,5,4,1,1,0,0,50,10,3,1,0
1968,5,370045,8,7,1,2,4,1,1,0,0,40,38,3,1,0
1993,5,101345,4,4,0,8,5,1,0,0,0,40,38,0,0,0
1996,5,154863,2,2,1,9,4,2,1,0,0,40,36,3,1,0
1971,2,79324,4,4,1,9,4,1,1,0,0,40,38,3,1,0
1989,2,156728,4,4,1,10,4,1,1,0,0,40,38,0,0,0
1988,2,94954,7,5,2,10,0,1,0,0,0,20,38,1,0,0
1999,2,469697,5,6,1,9,5,1,1,0,0,40,38,2,0,0
1981,4,151089,4,4,1,5,4,1,1,0,0,50,38,0,0,0
1977,2,105381,4,4,3,5,0,1,0,0,0,40,38,2,0,0
1987,2,348796,8,7,3,12,0,1,1,0,0,40,38,1,0,0
1977,2,187969,3,3,3,12,0,1,0,0,0,38,38,1,0,0
1986,2,607848,8,7,1,5,4,1,1,0,0,40,38,2,1,0
1999,5,77698,5,6,0,4,1,2,0,0,0,40,38,0,0,0
1988,2,405155,1,1,1,9,4,1,1,0,0,40,24,0,0,0
1999,2,251915,8,7,0,5,5,1,0,0,0,40,38,0,0,0
1969,5,26290,7,5,2,1,0,4,0,0,0,38,38,0,0,0
2004,2,188300,5,6,0,3,5,1,0,0,0,40,38,0,0,0
1994,3,523095,5,6,0,9,0,1,1,0,0,45,38,0,0,0
1992,2,154087,4,4,1,1,4,1,1,0,0,40,38,1,0,0
1967,2,49893,9,8,1,2,4,1,1,0,0,60,38,1,1,0
2004,2,528616,1,1,0,12,2,1,1,0,0,40,24,0,0,0
1999,2,344719,4,4,1,12,3,1,0,0,0,4,38,2,0,0
1994,2,329425,4,4,1,9,4,1,1,0,0,40,38,2,0,0
2005,2,187352,4,4,1,9,4,1,1,0,0,40,38,3,0,0
2005,2,279968,5,6,0,4,5,1,0,0,0,20,38,0,0,0
1990,2,155151,5,6,1,9,4,1,1,0,0,40,38,1,1,0
1997,2,195337,5,6,0,7,0,1,0,0,0,40,38,0,0,0
1992,2,184440,5,6,1,7,4,1,1,3464,0,40,38,2,0,0
1974,2,35224,4,4,1,9,4,1,1,0,0,40,38,3,0,0
1991,3,167476,3,3,3,8,0,1,1,0,0,7,38,2,0,0
1980,2,71269,5,6,3,1,0,1,1,0,0,50,38,0,0,0
1984,5,27444,8,7,0,2,0,1,1,0,0,50,38,0,1,0
1992,2,147284,7,5,1,5,4,1,1,0,0,50,38,0,1,0
1988,2,297449,8,7,3,2,0,1,1,14084,0,40,38,2,1,0
2004,2,303565,5,6,0,8,5,2,1,0,0,40,10,0,0,0
1996,2,96020,8,7,0,1,0,1,0,0,0,40,38,0,0,0
1992,3,84119,4,4,1,9,4,1,1,0,0,45,38,2,0,0
1942,4,130329,2,2,1,10,4,1,1,0,0,50,38,0,0,0
1991,2,199227,8,7,1,1,4,1,1,0,0,55,38,3,1,0
1981,2,75742,4,4,1,7,4,1,1,0,0,40,38,2,0,0
1981,2,177905,4,4,1,8,4,1,1,3908,0,40,38,0,0,0
2000,2,278155,5,6,0,7,0,1,1,0,0,30,38,0,0,0
1991,3,235271,8,7,3,5,0,1,1,0,0,50,38,2,1,0
1946,3,165694,9,8,2,5,0,1,0,0,0,15,38,1,0,0
1999,2,234665,7,5,1,9,4,1,1,0,0,45,38,1,0,0
1979,2,114459,4,4,1,9,4,1,1,0,0,50,38,1,1,0
1993,2,131568,2,2,0,7,0,1,1,0,0,40,38,0,0,0
2005,2,308064,4,4,0,7,0,2,0,0,0,40,38,0,0,0
1974,3,167380,2,2,1,10,4,1,1,0,0,40,38,0,0,0
1968,2,215839,5,6,1,6,4,1,1,0,0,60,38,2,0,0
2003,2,162667,8,7,0,4,0,1,1,0,0,40,3,0,0,0
2004,2,137895,4,4,1,5,4,1,1,0,0,45,38,2,0,0
1976,2,209460,4,4,3,8,0,1,1,0,0,40,38,3,0,0
1986,2,54317,5,6,1,7,4,1,1,0,0,60,38,3,0,0
1988,5,147258,5,6,3,6,0,1,1,0,0,60,38,2,0,0
1967,2,298507,8,7,1,2,4,1,1,3103,0,40,38,3,1,0
1979,5,160472,8,7,1,1,4,1,1,0,1977,50,38,2,1,0
1960,5,193043,4,4,1,1,4,1,1,0,0,40,38,0,0,0
1995,2,93662,5,6,3,2,1,1,0,0,0,24,38,0,0,0
1982,5,99554,5,6,1,6,4,1,1,0,0,40,38,0,0,0
1963,2,51170,4,4,1,9,4,1,1,0,0,55,38,1,0,0
2000,2,176389,4,4,1,9,4,1,1,0,0,40,38,2,0,0
1988,3,233533,5,6,1,9,4,1,1,0,0,60,38,0,1,0
1967,2,426263,9,8,3,1,1,1,1,0,0,40,38,1,1,0
1985,2,24342,8,7,1,2,4,1,1,0,0,40,38,0,1,0
1976,3,246891,11,9,1,9,4,1,1,0,0,60,38,0,0,0
1983,2,107584,4,4,1,7,4,1,1,0,0,40,38,0,0,0
1981,3,240170,8,7,1,1,4,1,1,0,0,50,10,2,0,0
1995,2,81648,4,4,1,5,4,1,1,0,1887,55,38,3,1,0
1999,5,249214,5,6,0,4,1,2,0,0,0,40,38,0,0,0
1978,2,695411,4,4,3,4,0,1,0,0,0,44,38,3,0,0
1990,2,267352,3,3,0,4,0,1,1,0,0,30,38,0,0,0
1997,5,46442,8,7,0,11,0,1,0,0,0,35,38,0,0,0
1960,2,75577,2,2,1,4,4,1,1,2580,0,50,38,3,0,0
1977,4,116927,4,4,1,1,4,1,1,0,0,42,38,2,1,0
2006,4,157131,4,4,0,1,5,1,0,0,0,12,38,0,0,0
1971,3,174102,2,2,1,1,4,1,1,4386,0,50,11,3,1,0
1983,5,176716,4,4,1,6,4,1,1,0,0,60,38,0,0,0
1995,2,301031,4,4,1,6,4,2,1,0,0,40,38,2,0,0
1980,2,171424,8,7,1,2,4,1,1,0,0,40,38,1,1,0
1990,2,216864,4,4,3,12,1,1,0,0,3770,45,38,0,0,0
1978,5,97863,7,5,1,4,4,1,1,5178,0,40,38,1,1,0
1987,2,305597,8,7,1,2,4,1,1,0,0,45,38,3,1,0
1989,2,255702,4,4,0,12,5,1,0,0,0,27,38,0,0,0
1990,2,52537,4,4,0,6,1,2,1,0,0,30,38,0,0,0
1996,2,161538,8,7,0,3,0,1,0,0,0,35,38,0,0,0
1980,5,96249,5,6,1,1,4,1,1,3411,0,40,38,2,0,0
2003,2,85088,5,6,0,12,5,1,0,0,0,37,38,0,0,0
1983,2,331651,11,9,1,1,3,1,0,0,0,50,22,0,1,0
1980,2,182370,4,4,1,9,4,1,1,0,0,40,38,1,0,0
1990,2,258170,4,4,3,1,1,1,0,0,0,38,38,1,0,0
1986,3,108947,5,6,1,7,4,1,1,7688,0,40,38,0,1,0
1991,3,177828,4,4,3,9,0,1,1,0,0,50,38,1,0,0
1978,2,28225,5,6,1,6,4,1,1,0,0,58,38,1,0,0
1965,5,93211,8,7,1,1,3,1,0,0,0,22,38,2,1,0
1979,5,331482,6,5,3,3,5,1,1,0,0,40,38,3,0,0
1995,2,174163,5,6,3,1,0,1,0,0,0,40,38,0,0,0
1967,2,548256,3,3,1,4,4,2,1,0,0,40,38,1,0,0
1998,2,290286,4,4,0,9,0,2,1,0,0,40,38,0,0,0
2001,3,184370,4,4,3,12,0,1,0,0,0,40,38,3,0,0
1997,2,161683,3,3,1,7,4,1,1,0,0,42,38,1,0,0
1991,2,594187,9,8,1,2,4,1,1,0,0,45,38,2,1,0
1986,2,204756,4,4,0,5,5,1,0,0,0,40,38,0,0,0
1992,2,169841,5,6,3,5,0,1,0,0,0,55,38,3,0,0
1993,2,112062,8,7,0,2,0,1,0,0,0,40,38,0,0,0
1999,5,257064,5,6,1,4,4,2,1,0,0,38,38,1,0,0
1965,5,48102,9,8,0,2,0,1,0,0,0,40,38,0,1,0
1994,2,208668,6,5,0,2,0,2,0,0,0,25,38,0,0,0
1992,5,119033,4,4,1,6,4,1,1,0,0,40,38,2,1,0
1985,2,103710,4,4,0,5,1,1,0,0,0,60,38,0,0,0
1978,2,188293,4,4,3,4,0,1,0,0,0,40,38,0,0,0
1982,5,159931,8,7,1,2,3,1,0,0,0,45,38,2,1,0
1983,2,211731,5,6,0,4,0,1,0,0,0,40,24,0,0,0
1975,5,105586,7,5,1,9,4,3,1,0,0,40,38,1,1,0
2005,2,219189,3,3,0,12,5,1,1,0,0,25,38,0,0,0
1999,2,63062,5,6,0,10,5,1,1,0,0,60,38,0,0,0
2000,2,24243,4,4,0,9,0,1,1,0,1590,40,38,0,0,0
1983,5,343079,8,7,1,2,3,1,0,0,1740,20,38,2,0,0
1966,2,223400,6,5,1,13,2,1,0,0,0,35,29,3,0,0
1985,2,138192,8,7,1,9,4,1,1,0,0,40,38,2,1,0
1977,5,148171,10,10,3,2,1,1,1,0,0,50,9,1,1,0
1995,2,184078,4,4,0,12,2,1,0,0,0,40,38,0,0,0
1988,2,193026,8,7,1,5,4,1,1,0,0,40,38,3,1,0
1974,2,180522,5,6,0,8,0,1,1,0,0,38,38,0,0,0
1999,3,217030,4,4,0,12,1,1,0,0,0,30,38,0,0,0
2004,2,85041,5,6,0,1,5,1,0,0,0,20,38,0,0,0
1983,2,118212,8,7,1,9,4,1,1,3103,0,40,38,0,1,0
1988,2,76417,4,4,1,9,4,1,1,0,0,52,38,1,0,0
1959,4,210381,8,7,1,1,4,1,1,99999,0,65,38,3,1,0
1989,2,207066,8,7,0,5,0,1,1,10520,0,45,38,0,1,0
1971,3,98829,8,7,1,2,4,1,1,0,0,50,38,0,0,0
1975,2,122066,4,4,1,1,4,1,1,0,0,30,16,0,0,0
1981,2,133584,5,6,1,7,4,1,1,0,0,40,38,1,0,0
1966,4,181974,10,10,0,2,0,1,0,0,0,99,38,0,0,0
1997,2,217200,5,6,0,2,0,1,1,0,0,40,38,0,0,0
1967,3,327901,3,3,1,9,4,1,1,0,0,40,38,1,0,0
2000,2,182342,8,7,0,5,5,1,1,0,0,40,38,0,0,0
1989,2,119006,4,4,2,5,5,1,0,0,0,38,38,3,0,0
1981,2,183765,5,6,3,3,0,1,1,0,0,40,38,2,1,0
1990,4,314375,5,6,1,5,4,1,1,0,0,60,38,2,1,0
1961,3,404547,4,4,1,9,4,1,1,0,0,30,38,0,0,0
1964,3,191024,4,4,1,9,4,1,1,0,0,40,38,1,0,0
1994,3,203834,8,7,0,9,0,3,0,0,0,50,34,0,0,0
2006,2,238867,3,3,0,8,5,1,1,0,1602,40,38,0,0,0
1960,3,289741,5,6,1,5,4,1,1,0,0,20,38,1,0,0
1987,2,380614,6,5,1,2,3,1,0,0,0,13,38,3,1,0
1959,2,117162,7,5,1,2,3,1,0,0,0,56,38,3,1,0
1983,4,299813,2,2,1,5,3,1,0,0,0,70,5,3,0,0
1985,5,352628,6,5,1,9,3,1,0,0,0,50,38,1,1,0
1972,2,163678,4,4,1,6,4,1,1,0,0,55,38,2,0,0
1972,3,195462,4,4,1,10,4,1,1,0,0,98,38,1,1,0
1970,2,146834,3,3,1,7,4,1,1,0,0,60,38,3,0,0
1996,2,48894,4,4,1,4,5,1,0,0,0,40,38,2,0,0
2001,5,103588,5,6,0,4,5,1,1,0,0,25,38,0,0,0
2006,2,187240,3,3,0,8,5,1,1,0,0,18,38,0,0,0
1977,2,22900,4,4,3,12,0,1,0,0,0,40,38,3,0,0
1990,2,234537,6,5,3,5,0,1,1,0,0,40,38,1,0,0
1984,2,149466,4,4,3,8,0,2,1,0,0,35,38,3,0,0
1992,2,116539,8,7,1,1,4,1,1,0,1887,55,38,2,1,0
1992,4,78530,5,6,1,1,4,1,1,15024,0,50,38,3,1,0
1984,2,238329,8,7,0,5,0,1,0,0,0,45,38,0,0,0
1999,2,98283,8,7,0,2,5,3,1,0,0,40,38,0,0,0
1993,2,211334,5,6,1,9,4,1,1,2407,0,65,38,0,0,0
1982,2,384508,3,3,3,5,1,1,1,1506,0,50,24,1,0,0
1968,5,143931,8,7,2,2,0,1,0,0,0,40,38,1,0,0
1997,2,255582,4,4,0,7,0,1,0,0,0,40,38,0,0,0
1996,2,166320,4,4,0,2,0,1,1,0,0,40,38,0,0,0
1987,5,98725,8,7,0,3,5,1,0,0,0,42,38,0,0,0
1981,3,193494,11,9,1,2,4,1,1,0,0,60,38,0,1,0
2004,3,169184,5,6,0,2,2,2,0,0,0,40,38,0,0,0
1960,2,114994,4,4,1,12,4,1,1,0,0,20,38,1,0,0
1975,2,194189,2,2,1,8,4,1,1,0,0,40,38,0,0,0
1971,2,94081,8,7,1,1,4,1,1,0,0,44,38,2,1,0
2006,2,127388,5,6,0,1,5,1,0,0,0,40,38,0,0,0
1997,2,333296,8,7,0,12,0,1,1,0,0,30,38,0,0,0
1992,2,48520,5,6,1,9,4,1,1,0,0,40,38,0,0,0
1970,2,21698,3,3,3,12,1,1,0,0,0,40,38,2,0,0
1977,2,359461,8,7,1,9,4,1,1,0,0,40,38,0,0,0
1964,3,95445,5,6,1,6,4,1,1,3137,0,46,38,1,0,0
2000,2,399449,8,7,0,5,5,1,0,0,0,40,38,0,0,0
1990,2,206297,8,7,1,1,4,1,1,0,0,48,38,2,1,0
1974,5,24647,5,6,1,4,4,1,1,0,0,40,38,2,1,0
1998,2,181920,8,7,1,2,3,1,0,0,0,45,38,0,1,0
1965,2,32954,7,5,3,2,0,1,0,0,0,36,38,0,0,0
1988,2,124818,4,4,1,7,4,1,1,0,0,40,38,0,0,0
1988,2,150601,11,9,1,2,4,1,1,0,0,50,38,1,0,0
1982,2,337629,3,3,1,9,4,2,1,0,0,60,38,3,1,0
1992,5,213389,5,6,3,11,1,1,0,0,1726,38,38,2,0,0
1984,2,70539,5,6,1,5,4,1,1,4386,0,50,38,0,0,0
1971,5,124094,4,4,1,9,4,1,1,5013,0,35,38,3,0,0
1999,5,210095,1,1,0,9,1,1,0,0,0,25,7,0,0,0
1983,5,235951,11,9,1,2,4,1,1,0,0,50,38,1,1,0
1978,2,144351,9,8,1,2,4,1,1,0,0,40,38,2,1,0
1994,2,189759,8,7,0,5,0,1,1,0,0,40,38,0,0,0
1977,2,139268,4,4,1,3,4,1,1,0,0,40,38,2,0,0
2001,2,218343,6,5,0,5,5,1,0,0,0,40,38,0,0,0
2000,2,177287,5,6,0,8,5,1,0,0,0,30,38,0,0,0
2006,2,214989,5,6,0,8,5,1,0,0,1602,24,38,0,0,0
1972,2,29658,4,4,1,4,4,1,1,0,0,40,38,3,0,0
1978,5,212120,7,5,1,4,4,1,1,0,0,40,38,3,1,0
1961,5,379940,8,7,1,2,4,1,1,0,0,40,38,0,1,0
1988,2,182074,5,6,3,4,0,1,1,0,0,45,38,1,0,0
1978,2,106255,5,6,1,9,4,1,1,0,0,40,38,0,0,0
2005,2,181546,5,6,0,4,5,1,0,0,0,40,38,0,0,0
1973,2,138847,8,7,1,1,4,1,1,0,0,40,38,2,1,0
1993,2,120672,3,3,3,8,2,2,1,0,1721,40,38,3,0,0
2001,2,263899,4,4,0,8,5,2,1,0,0,12,8,0,0,0
1980,2,206878,4,4,0,5,2,1,0,0,0,15,38,0,0,0
1989,2,65876,4,4,1,9,4,1,1,0,0,40,38,0,0,0
1989,2,177121,4,4,3,12,0,1,0,0,0,35,38,1,0,0
1990,2,27380,8,7,1,10,4,1,1,0,0,50,38,1,1,0
1977,4,332355,9,8,1,1,4,1,1,15024,0,50,38,1,1,0
1966,4,158611,4,4,1,1,4,1,1,0,0,50,38,3,0,0
1974,2,73493,5,6,3,12,0,1,0,0,0,40,38,1,0,0
1993,2,339482,1,1,1,7,4,1,1,0,0,40,24,3,0,0
1998,2,233777,4,4,1,7,4,1,1,0,0,40,38,1,1,0
1986,2,48779,5,6,1,6,4,1,1,0,0,40,38,2,1,0
1986,2,179579,4,4,0,2,0,1,1,0,0,40,38,0,0,0
2003,2,273403,7,5,0,12,0,1,0,0,0,50,38,0,0,0
1998,2,44308,8,7,0,3,0,1,1,0,0,40,38,0,0,0
2006,2,39529,3,3,0,12,5,1,0,0,0,32,38,0,0,0
1995,2,134890,7,5,1,10,4,1,1,0,0,40,38,2,1,0
1996,2,112403,4,4,0,9,1,1,1,2354,0,40,38,0,0,0
1986,2,359001,7,5,1,2,4,1,1,0,0,42,38,1,0,0
1997,2,292472,5,6,0,9,0,3,1,0,1876,45,0,0,0,0
1979,4,40666,11,9,1,2,4,1,1,0,0,55,38,1,1,0
1974,2,104501,4,4,1,9,4,1,1,0,0,40,38,0,1,0
1966,5,310085,3,3,1,6,4,1,1,0,0,40,38,1,0,0
1951,5,127858,5,6,2,3,0,1,0,3273,0,40,38,2,0,0
